entidad,segmento,tramo_gestion,casos_activos,tipo_accion,dia1,dia2,dia3,dia4,dia5,dia6,dia7,dia8,dia9,dia10,dia11,dia12,dia13,dia14,dia15,dia16,dia17,dia18,dia19,dia20,dia21,dia22,dia23,dia24,dia25,dia26,dia27,dia28,dia29,dia30,dia31,total_mes
ADT0,,1) 0 a 30,10567,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5209,0,0,0,4212,3300,0,0,12721
ADT0,,1) 0 a 30,10567,ivr,3461,0,0,0,0,0,0,0,0,0,0,0,0,0,24207,19998,0,11809,14582,9627,0,0,0,12066,9383,10374,7382,7973,6266,0,0,137128
ADT0,,1) 0 a 30,10567,sms_corto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,12,3842,59,0,37,1031,87,1662,18,36,0,2579,22,237,0,0,9697
ADT0,,1) 0 a 30,10567,sms_largo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543,1664,1074,0,1404,1475,1226,1184,1142,1171,0,1089,1183,1192,0,0,15347
ADT0,,1) 0 a 30,10567,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,21,231,153,0,223,277,44,127,0,0,0,115,567,403,0,0,2220
ADT0,,1) 0 a 30,10567,call_ope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,114,908,545,0,789,540,880,497,361,510,0,329,340,345,0,0,6752
ADT0,,1) 0 a 30,10567,call_pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5279,1171,4508,5385,0,7922,4754,6292,3776,3047,6503,0,2638,3092,3993,0,0,58360
ADT0,,1) 0 a 30,10567,mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15902,0,14245,0,0,8264,0,7026,7974,0,0,0,6565,1191,1266,0,0,62433
ADT0,,3) 61 a 90,0,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT0,,3) 61 a 90,0,ivr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT0,,3) 61 a 90,0,sms_corto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ADT0,,3) 61 a 90,0,sms_largo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT0,,3) 61 a 90,0,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT0,,3) 61 a 90,0,call_ope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT0,,3) 61 a 90,0,call_pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT0,,3) 61 a 90,0,mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT1,,1) 0 a 30,322,voicebot,0,0,328,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,496,126,0,0,1542
ADT1,,1) 0 a 30,322,ivr,1338,573,639,622,0,667,617,593,581,588,602,0,616,530,546,546,0,499,48,414,0,0,0,548,488,30,543,525,522,0,0,12675
ADT1,,1) 0 a 30,322,sms_corto,317,5,0,0,0,0,292,2,0,0,0,0,0,159,1,0,0,0,0,1,175,0,0,224,0,0,0,0,0,0,0,1176
ADT1,,1) 0 a 30,322,sms_largo,0,29,38,39,0,84,112,109,107,110,88,0,81,74,37,53,102,89,0,68,0,29,45,93,81,0,109,59,97,0,0,1733
ADT1,,1) 0 a 30,322,whatsapp,139,150,375,0,0,189,126,307,0,0,0,0,160,0,0,122,170,0,0,0,0,72,0,125,0,0,106,162,0,0,0,2203
ADT1,,1) 0 a 30,322,call_ope,75,98,71,0,0,81,85,88,0,0,0,0,99,193,91,100,101,0,0,94,153,109,100,119,0,0,97,132,66,0,0,1952
ADT1,,1) 0 a 30,322,call_pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT1,,1) 0 a 30,322,mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,254,0,0,0,250,0,0,0,0,791
AUSO,,1) 0 a 30,6783,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSO,,1) 0 a 30,6783,ivr,3191,0,9092,0,8948,8033,0,8733,0,8520,0,8460,7886,1,8286,1,0,0,3858,3263,2,0,0,3606,0,3584,3141,70,3458,0,0,92133
AUSO,,1) 0 a 30,6783,sms_corto,3,12,12,0,0,8,1,844,42,5,0,0,69,20,26,14,8,0,0,7,6,140,4,3,0,0,16,4,3,0,0,1247
AUSO,,1) 0 a 30,6783,sms_largo,5,1051,1016,83,0,128,25,6,17,5,9,0,10,13,6,8,4,3,0,5,5,0,0,0,0,0,0,0,0,0,0,2399
AUSO,,1) 0 a 30,6783,whatsapp,0,0,106,0,0,0,98,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,9,0,0,10,0,0,0,0,241
AUSO,,1) 0 a 30,6783,call_ope,21,13,20,0,0,15,4,9,160,0,0,0,233,73,44,5,13,0,0,42,9,3,4,3,0,0,99,8,4,0,0,782
AUSO,,1) 0 a 30,6783,call_pred,45,0,0,0,0,0,0,0,605,0,0,0,170,719,517,0,0,0,0,123,0,0,0,0,0,0,456,0,0,0,0,2635
AUSO,,1) 0 a 30,6783,mail,0,6876,0,0,0,3121,0,3100,171,0,0,0,2924,0,2813,25,0,0,0,2762,2141,2650,0,0,0,0,2616,0,2498,0,0,31697
AUSO,,2) 31 a 60,6709,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSO,,2) 31 a 60,6709,ivr,0,2454,0,0,0,0,3140,0,2544,0,0,0,0,3029,0,2455,0,0,0,0,1,0,0,455,0,0,0,2913,55,0,0,17046
AUSO,,2) 31 a 60,6709,sms_corto,2,0,5,0,0,2,4,165,9,2,0,0,22,3,7,6,6,0,0,3,1,247,1,1,0,0,1,4,2,0,0,493
AUSO,,2) 31 a 60,6709,sms_largo,10,3,7,5,0,2,2,2,2,2,2,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43
AUSO,,2) 31 a 60,6709,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,21
AUSO,,2) 31 a 60,6709,call_ope,20,1,4,0,0,4,3,1,48,0,0,0,89,17,7,3,14,0,0,3,3,4,1,1,0,0,38,8,4,0,0,273
AUSO,,2) 31 a 60,6709,call_pred,47,0,0,0,0,0,0,0,302,0,0,0,76,155,119,0,0,0,0,11,0,0,0,0,0,0,242,0,0,0,0,952
AUSO,,2) 31 a 60,6709,mail,0,332,0,0,0,0,5376,0,310,0,0,0,0,5137,0,47,0,0,0,0,5159,2,0,0,0,0,0,3902,0,0,0,20265
AUSO,,3) 61 a 90,6611,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSO,,3) 61 a 90,6611,ivr,0,2421,0,0,0,0,2951,0,2416,0,0,0,1,2903,0,2408,0,0,0,0,0,0,0,388,0,0,0,2821,70,0,0,16379
AUSO,,3) 61 a 90,6611,sms_corto,10,2,1,0,0,1,1,0,0,7,0,0,1,1,0,4,3,0,0,1,0,284,1,0,0,0,2,3,0,0,0,322
AUSO,,3) 61 a 90,6611,sms_largo,7,4,6,6,0,3,3,3,4,3,3,0,4,3,3,3,0,0,0,1,3,0,0,1,0,0,2,0,1,0,0,63
AUSO,,3) 61 a 90,6611,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15
AUSO,,3) 61 a 90,6611,call_ope,25,2,0,0,0,1,1,0,0,35,0,0,2,14,5,1,14,0,0,3,1,0,0,0,0,0,13,8,5,0,0,130
AUSO,,3) 61 a 90,6611,call_pred,61,0,0,0,0,0,0,0,0,207,0,0,0,124,96,0,0,0,0,7,0,0,0,0,0,0,61,0,0,0,0,556
AUSO,,3) 61 a 90,6611,mail,0,354,0,0,0,0,4758,0,332,0,0,0,0,4617,0,35,0,0,0,0,4687,0,0,0,0,0,0,3774,0,0,0,18557
AUSO,,4) 91 a 120,6624,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSO,,4) 91 a 120,6624,ivr,0,0,0,0,0,0,2884,0,2429,0,0,0,0,2851,0,2388,0,0,0,0,0,0,0,339,0,0,0,2889,92,0,0,13872
AUSO,,4) 91 a 120,6624,sms_corto,0,0,0,0,0,1,1,1,1,5,0,0,0,3,1,0,1,0,0,1,1,352,1,2,0,0,5,1,1,0,0,378
AUSO,,4) 91 a 120,6624,sms_largo,0,0,0,0,0,6,6,6,6,5,5,0,6,4,4,3,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,61
AUSO,,4) 91 a 120,6624,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,37,0,0,4,0,0,0,0,64
AUSO,,4) 91 a 120,6624,call_ope,0,0,0,0,0,1,0,0,0,19,0,0,1,10,7,0,8,0,0,5,0,2,0,1,0,0,16,4,6,0,0,80
AUSO,,4) 91 a 120,6624,call_pred,0,0,0,0,0,0,0,0,0,160,0,0,0,78,59,0,0,0,0,6,0,0,0,0,0,0,46,0,0,0,0,349
AUSO,,4) 91 a 120,6624,mail,0,0,0,0,0,0,4205,0,327,0,0,0,0,4112,0,41,0,0,0,0,4160,0,0,0,0,0,0,3354,0,0,0,16199
AUSO,,5) 121 a 180,12570,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSO,,5) 121 a 180,12570,ivr,0,5544,0,0,0,0,4410,0,3723,0,0,0,0,4363,0,3700,0,0,0,0,0,0,0,526,0,0,0,4318,121,0,0,26705
AUSO,,5) 121 a 180,12570,sms_corto,10,0,1,0,0,1,0,0,0,6,0,0,0,5,0,4,0,0,0,1,1,0,1,2,0,0,8,2,3,0,0,45
AUSO,,5) 121 a 180,12570,sms_largo,73,12,14,12,0,9,9,8,8,9,8,0,8,8,8,8,3,3,0,5,9,2,0,2,0,0,0,0,1,0,0,219
AUSO,,5) 121 a 180,12570,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,36
AUSO,,5) 121 a 180,12570,call_ope,53,1,1,0,0,1,0,1,0,27,0,0,0,35,11,4,0,0,0,4,1,2,0,2,0,0,25,7,13,0,0,188
AUSO,,5) 121 a 180,12570,call_pred,135,0,0,0,0,0,0,0,0,181,0,0,0,229,147,0,0,0,0,15,0,0,0,0,0,0,114,0,0,0,0,821
AUSO,,5) 121 a 180,12570,mail,0,756,0,0,0,0,0,0,464,0,0,0,768,0,0,79,0,0,0,0,3924,0,0,0,0,0,0,1,0,0,0,5992
AUSO,,6) 181 a 360,42894,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSO,,6) 181 a 360,42894,ivr,0,0,0,8417,0,0,0,0,0,0,10429,0,0,0,0,0,0,8408,1734,0,0,0,0,0,8898,1328,0,609,340,0,0,40163
AUSO,,6) 181 a 360,42894,sms_corto,12,2,1,0,0,0,1,0,0,12,0,0,0,2,3,6,2,0,0,2,1,4,9,0,0,0,13,7,12,0,0,89
AUSO,,6) 181 a 360,42894,sms_largo,16,7,12,11,0,17,17,15,17,14,13,0,13,13,14,12,3,6,0,10,12,0,862,0,866,0,0,896,1,0,0,2847
AUSO,,6) 181 a 360,42894,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
AUSO,,6) 181 a 360,42894,call_ope,75,3,0,0,0,2,1,0,0,100,0,0,2,0,1,3,1,0,0,53,4,1,2,0,2,0,69,29,20,0,0,368
AUSO,,6) 181 a 360,42894,call_pred,189,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,370,0,0,0,0,1257
AUSO,,6) 181 a 360,42894,mail,0,737,0,0,0,0,0,0,807,0,0,0,1676,0,0,150,0,0,0,0,9902,0,0,0,0,0,0,8,0,0,0,13280
AUSO,,7) >360,200081,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSO,,7) >360,200081,ivr,0,0,0,11530,0,1,14720,0,0,0,11535,0,0,14092,604,0,0,10095,1361,0,0,0,1,0,11986,476,0,16752,543,0,0,93696
AUSO,,7) >360,200081,sms_corto,30,11,1,0,0,2,1,1,0,1,0,0,3,0,0,2,1,0,0,0,0,0,1,3,2,0,1,4,6,0,0,70
AUSO,,7) >360,200081,sms_largo,76,56,69,62,0,57,57,55,55,54,49,0,49,50,49,55,12,28,0,37,54,825,0,819,0,0,806,0,971,0,0,4345
AUSO,,7) >360,200081,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
AUSO,,7) >360,200081,call_ope,128,6,0,0,0,5,1,3,1,0,0,0,7,5,0,2,0,0,0,0,3,4,5,4,1,0,9,6,21,0,0,211
AUSO,,7) >360,200081,call_pred,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
AUSO,,7) >360,200081,mail,0,1809,0,0,23656,0,0,0,1478,0,0,0,0,0,0,298,0,0,0,0,13462,0,0,0,0,0,0,0,0,0,0,40703
